parties,nv,gate,pcs,extra_time
32,22,vanilla,mkzg,11910.0
32,22,vanilla,dory,42425.0
32,22,jellyfish,mkzg,12463.0
32,22,jellyfish,dory,43101.0
32,23,vanilla,mkzg,12777.0
32,23,vanilla,dory,43298.0
32,23,jellyfish,mkzg,13563.0
32,23,jellyfish,dory,44469.0
32,24,vanilla,mkzg,13969.0
32,24,vanilla,dory,45131.0
32,24,jellyfish,mkzg,14774.0
32,24,jellyfish,dory,46132.0
32,25,vanilla,mkzg,15148.0
32,25,vanilla,dory,46356.0
32,25,jellyfish,mkzg,15963.0
32,25,jellyfish,dory,47267.0
32,26,vanilla,mkzg,16387.0
32,26,vanilla,dory,48354.0
32,26,jellyfish,mkzg,17259.0
32,26,jellyfish,dory,49008.0
16,22,vanilla,mkzg,11275.0
16,22,vanilla,dory,31275.0
16,22,jellyfish,mkzg,11773.0
16,22,jellyfish,dory,31261.0
16,23,vanilla,mkzg,12344.0
16,23,vanilla,dory,32359.0
16,23,jellyfish,mkzg,13020.0
16,23,jellyfish,dory,33345.0
16,24,vanilla,mkzg,13457.0
16,24,vanilla,dory,33453.0
16,24,jellyfish,mkzg,13985.0
16,24,jellyfish,dory,34264.0
16,25,vanilla,mkzg,14658.0
16,25,vanilla,dory,35122.0
16,25,jellyfish,mkzg,15193.0
16,25,jellyfish,dory,35813.0
16,26,vanilla,mkzg,15839.0
16,26,vanilla,dory,36233.0
16,26,jellyfish,mkzg,16569.0
16,26,jellyfish,dory,37162.0
8,22,vanilla,mkzg,11287.0
8,22,vanilla,dory,24167.0
8,22,jellyfish,mkzg,11601.0
8,22,jellyfish,dory,24489.0
8,23,vanilla,mkzg,12525.0
8,23,vanilla,dory,25383.0
8,23,jellyfish,mkzg,12822.0
8,23,jellyfish,dory,25754.0
8,24,vanilla,mkzg,13491.0
8,24,vanilla,dory,26827.0
8,24,jellyfish,mkzg,13873.0
8,24,jellyfish,dory,26724.0
8,25,vanilla,mkzg,14842.0
8,25,vanilla,dory,27923.0
8,25,jellyfish,mkzg,15127.0
8,25,jellyfish,dory,28381.0
8,26,vanilla,mkzg,16092.0
8,26,vanilla,dory,29624.0
8,26,jellyfish,mkzg,16594.0
8,26,jellyfish,dory,29719.0
4,22,vanilla,mkzg,11408.0
4,22,vanilla,dory,19265.0
4,22,jellyfish,mkzg,11780.0
4,22,jellyfish,dory,19548.0
4,23,vanilla,mkzg,12561.0
4,23,vanilla,dory,20736.0
4,23,jellyfish,mkzg,12933.0
4,23,jellyfish,dory,20932.0
4,24,vanilla,mkzg,13852.0
4,24,vanilla,dory,21433.0
4,24,jellyfish,mkzg,13984.0
4,24,jellyfish,dory,22088.0
4,25,vanilla,mkzg,15067.0
4,25,vanilla,dory,23225.0
4,25,jellyfish,mkzg,15911.0
4,25,jellyfish,dory,23720.0
4,26,vanilla,mkzg,16607.0
4,26,vanilla,dory,24810.0
4,26,jellyfish,mkzg,17005.0
4,26,jellyfish,dory,24836.0
2,22,vanilla,mkzg,11826.0
2,22,vanilla,dory,16228.0
2,22,jellyfish,mkzg,12284.0
2,22,jellyfish,dory,16376.0
2,23,vanilla,mkzg,13155.0
2,23,vanilla,dory,17380.0
2,23,jellyfish,mkzg,13554.0
2,23,jellyfish,dory,17666.0
2,24,vanilla,mkzg,14261.0
2,24,vanilla,dory,18779.0
2,24,jellyfish,mkzg,14957.0
2,24,jellyfish,dory,19053.0
2,25,vanilla,mkzg,15748.0
2,25,vanilla,dory,20156.0
2,25,jellyfish,mkzg,16225.0
2,25,jellyfish,dory,20559.0
2,26,vanilla,mkzg,17504.0
2,26,vanilla,dory,21914.0
2,26,jellyfish,mkzg,17303.0
2,26,jellyfish,dory,22204.0
