parties,nv,gate,pcs,prover_time,verifier_time,comm,mem,proof_size_compressed,proof_size_uncompressed
32,22,vanilla,mkzg,474829,5068,1440013,19452260,41386,42186
32,22,vanilla,dory,844145,14174,2337851,9961556,78986,83146
32,22,jellyfish,mkzg,638167,5390,1739597,19622292,49882,50746
32,22,jellyfish,dory,1039912,14731,2657275,10177996,88186,92346
32,23,vanilla,mkzg,761584,5168,1559512,19801400,44418,45250
32,23,vanilla,dory,1297182,14281,2455366,10264212,81986,86146
32,23,jellyfish,mkzg,1093795,5584,1873976,20169380,53266,54162
32,23,jellyfish,dory,1698486,14856,2789670,10648244,91538,95698
32,24,vanilla,mkzg,1122265,5405,1683546,20700728,47554,48418
32,24,vanilla,dory,1906969,15318,2673782,11093148,87682,92130
32,24,jellyfish,mkzg,1625893,5928,2012890,21283912,56754,57682
32,24,jellyfish,dory,2656588,15849,3022966,11728792,97586,102034
32,25,vanilla,mkzg,1971220,5549,1812115,21330968,50794,51690
32,25,vanilla,dory,3301282,15330,2800367,11801676,90890,95338
32,25,jellyfish,mkzg,2994225,5899,2156339,22662712,60346,61306
32,25,jellyfish,dory,4850381,15992,3164431,13169272,101146,105594
32,26,vanilla,mkzg,3564964,5826,1945219,22851348,54138,55066
32,26,vanilla,dory,5384639,16986,3027853,13312968,96794,101530
32,26,jellyfish,mkzg,5635080,6150,2304323,25763772,64042,65034
32,26,jellyfish,dory,8227202,17532,3406797,16166780,107402,112138
16,22,vanilla,mkzg,755315,5020,744072,19772284,41386,42186
16,22,vanilla,dory,1276289,13433,1177638,10249320,76394,80266
16,22,jellyfish,mkzg,1068725,5330,896232,20163868,49882,50746
16,22,jellyfish,dory,1663658,13894,1339398,10658076,85594,89466
16,23,vanilla,mkzg,1100679,5111,803706,20762156,44418,45250
16,23,vanilla,dory,1886476,14280,1282950,11041336,81986,86146
16,23,jellyfish,mkzg,1585771,5460,963066,21363572,53266,54162
16,23,jellyfish,dory,2583676,14799,1451910,11705748,91538,95698
16,24,vanilla,mkzg,1947206,5413,865539,21391500,47554,48418
16,24,vanilla,dory,3297975,14400,1343823,11750868,85090,89250
16,24,jellyfish,mkzg,2944546,5746,1032099,22672008,56754,57682
16,24,jellyfish,dory,4804189,14966,1519983,13047812,94994,99154
16,25,vanilla,mkzg,3495133,5642,929571,22916208,50794,51690
16,25,vanilla,dory,5313575,15386,1453533,13311096,90890,95338
16,25,jellyfish,mkzg,5702105,6055,1103331,25876144,60346,61306
16,25,jellyfish,dory,8149381,15996,1636893,16111824,101146,105594
16,26,vanilla,mkzg,6499456,5553,995802,25856588,54138,55066
16,26,vanilla,dory,9736636,15487,1518804,16163048,94202,98650
16,26,jellyfish,mkzg,10591258,5905,1176762,31706388,64042,65034
16,26,jellyfish,dory,15651100,16187,1709364,21976840,104810,109258
8,22,vanilla,mkzg,1074574,5148,370586,20678560,41386,42186
8,22,vanilla,dory,1812675,13353,594334,11037012,76394,80266
8,22,jellyfish,mkzg,1556362,5464,444954,21288848,49882,50746
8,22,jellyfish,dory,2536597,13875,673182,11801936,85594,89466
8,23,vanilla,mkzg,1906647,5234,399323,21479000,44418,45250
8,23,vanilla,dory,3201614,13528,622623,11793720,79394,83266
8,23,jellyfish,mkzg,2948096,5477,477051,22713832,53266,54162
8,23,jellyfish,dory,4730645,13940,704831,13079008,88946,92818
8,24,vanilla,mkzg,3641389,5173,429091,22855868,47554,48418
8,24,vanilla,dory,5193762,14805,673717,13226668,85090,89250
8,24,jellyfish,mkzg,5607115,5580,510179,25818472,56754,57682
8,24,jellyfish,dory,8114181,14998,759285,16267944,94994,99154
8,25,vanilla,mkzg,6564829,5369,459890,25807964,50794,51690
8,25,vanilla,dory,9543085,14560,704068,16179036,88298,92458
8,25,jellyfish,mkzg,10535582,5904,544338,31812764,60346,61306
8,25,jellyfish,dory,15306892,15106,792996,21967400,98554,102714
8,26,vanilla,mkzg,12402600,5698,491720,31533368,54138,55066
8,26,vanilla,dory,16902385,15588,757224,22006552,94202,98650
8,26,jellyfish,mkzg,20587253,6038,579528,43434884,64042,65034
8,26,jellyfish,dory,27588566,16249,849512,33632488,104810,109258
4,22,vanilla,mkzg,1837153,5107,169959,21362120,41386,42186
4,22,vanilla,dory,3099315,12926,265767,11878476,73802,77386
4,22,jellyfish,mkzg,2892763,5299,203271,22702500,49882,50746
4,22,jellyfish,dory,4652479,13438,300999,13045120,83002,86586
4,23,vanilla,mkzg,3385321,5354,182739,22802364,44418,45250
4,23,vanilla,dory,5081010,13519,287697,13259348,79394,83266
4,23,jellyfish,mkzg,5411896,5644,217491,25680504,53266,54162
4,23,jellyfish,dory,8008205,14338,324369,16139636,88946,92818
4,24,vanilla,mkzg,6428247,5468,195966,25827068,47554,48418
4,24,vanilla,dory,9378465,13564,300732,16146884,82498,86370
4,24,jellyfish,mkzg,10602590,5808,232158,31569120,56754,57682
4,24,jellyfish,dory,15173081,14234,338844,21861956,92402,96274
4,25,vanilla,mkzg,12221524,5391,209640,31497472,50794,51690
4,25,vanilla,dory,16513140,14626,323556,21944480,88298,92458
4,25,jellyfish,mkzg,20297402,5782,247272,43127884,60346,61306
4,25,jellyfish,dory,27435782,15187,363108,33755568,98554,102714
4,26,vanilla,mkzg,24320782,5787,223761,43172008,54138,55066
4,26,vanilla,dory,31122855,14805,337485,33670060,91610,95770
4,26,jellyfish,mkzg,40401602,6005,262833,66875652,64042,65034
4,26,jellyfish,dory,53347927,15279,378477,57223968,102218,106378
2,22,vanilla,mkzg,3281371,5000,61723,22849164,41386,42186
2,22,vanilla,dory,4963827,12977,96847,13379808,73802,77386
2,22,jellyfish,mkzg,5280524,5260,73307,25833956,49882,50746
