parties,nv,gate,pcs,prover_time,verifier_time,comm,mem,proof_size_compressed,proof_size_uncompressed
32,22,vanilla,mkzg,2502128,5395,1440013,19473300,41386,42186
32,22,vanilla,dory,3097925,14101,2337851,9963904,78986,83146
32,22,jellyfish,mkzg,2666320,5385,1739597,19630200,49882,50746
32,22,jellyfish,dory,3301126,14809,2657275,10192524,88186,92346
32,23,vanilla,mkzg,3009797,5226,1559512,19757428,44418,45250
32,23,vanilla,dory,3794556,14248,2455366,10310024,81986,86146
32,23,jellyfish,mkzg,3307928,5713,1873976,20119356,53266,54162
32,23,jellyfish,dory,4126183,14774,2789670,10644960,91538,95698
32,24,vanilla,mkzg,3578861,5429,1683546,20676872,47554,48418
32,24,vanilla,dory,4663662,15243,2673782,11078836,87682,92130
32,24,jellyfish,mkzg,4020350,5778,2012890,21375964,56754,57682
32,24,jellyfish,dory,5343289,15939,3022966,11776840,97586,102034
32,25,vanilla,mkzg,4666537,5495,1812115,21335564,50794,51690
32,25,vanilla,dory,6277249,15285,2800367,11774752,90890,95338
32,25,jellyfish,mkzg,5543098,5885,2156339,22652032,60346,61306
32,25,jellyfish,dory,7691812,15951,3164431,13137300,101146,105594
32,26,vanilla,mkzg,6522246,5844,1945219,22868312,54138,55066
32,26,vanilla,dory,8559146,16927,3027853,13308456,96794,101530
32,26,jellyfish,mkzg,8321201,6102,2304323,25736876,64042,65034
32,26,jellyfish,dory,11352632,17632,3406797,16214984,107402,112138
16,22,vanilla,mkzg,2928258,5137,744072,19821068,41386,42186
16,22,vanilla,dory,3664629,13422,1177638,10243320,76394,80266
16,22,jellyfish,mkzg,3220522,5479,896232,20090820,49882,50746
16,22,jellyfish,dory,4030479,13816,1339398,10647368,85594,89466
16,23,vanilla,mkzg,3476878,5417,803706,20736700,44418,45250
16,23,vanilla,dory,4517565,14317,1282950,11006320,81986,86146
16,23,jellyfish,mkzg,3904492,5460,963066,21299324,53266,54162
16,23,jellyfish,dory,5149000,14705,1451910,11812140,91538,95698
