parties,nv,gate,pcs,prover_time,verifier_time,comm,mem,proof_size_compressed,proof_size_uncompressed
32,22,vanilla,mkzg,901733,3726,645160,19450072,10946,11778
32,22,vanilla,dory,1528905,12849,1552918,9913448,48898,53058
32,22,jellyfish,mkzg,1123158,3953,871336,19610956,14306,15202
32,22,jellyfish,dory,1767094,12924,1798934,10076164,52962,57122
32,23,vanilla,mkzg,1276630,3705,678038,19710020,11410,12274
32,23,vanilla,dory,2114035,12873,1583812,10186712,49330,53490
32,23,jellyfish,mkzg,1689537,3736,915126,20005468,14898,15826
32,23,jellyfish,dory,2601693,12934,1840740,10482844,53522,57682
32,24,vanilla,mkzg,1699098,3807,710916,20679616,11874,12770
32,24,vanilla,dory,2882315,13849,1711072,10883244,52354,56802
32,24,jellyfish,mkzg,2359222,3707,958916,21192424,15490,16450
32,24,jellyfish,dory,3788111,13801,1978912,11508616,56674,61122
32,25,vanilla,mkzg,2777722,3837,743794,20998896,12338,13266
32,25,vanilla,dory,4672194,13732,1741966,11611568,52786,57234
32,25,jellyfish,mkzg,4175429,3832,1002706,22114396,16082,17074
32,25,jellyfish,dory,6503189,13843,2020718,12729100,57234,61682
32,26,vanilla,mkzg,4718530,3927,776672,22506564,12802,13762
32,26,vanilla,dory,7268060,14959,1869226,13115884,55810,60546
32,26,jellyfish,mkzg,7306229,4052,1046496,25259536,16674,17698
32,26,jellyfish,dory,10807082,15185,2158890,15873556,60386,65122
16,22,vanilla,mkzg,1250818,3748,326358,19698636,10946,11778
16,22,vanilla,dory,2053798,12063,764724,10174688,46306,50178
16,22,jellyfish,mkzg,1660600,3710,441078,20005588,14306,15202
16,22,jellyfish,dory,2533785,12140,889044,10512860,50370,54242
16,23,vanilla,mkzg,1658686,3788,342276,20653412,11410,12274
16,23,vanilla,dory,2816263,12789,826320,10861400,49330,53490
16,23,jellyfish,mkzg,2331099,3799,462276,21221128,14898,15826
16,23,jellyfish,dory,3705428,12990,955920,11512516,53522,57682
16,24,vanilla,mkzg,2722463,3877,358194,20978620,11874,12770
16,24,vanilla,dory,4601910,12904,841278,11582168,49762,53922
16,24,jellyfish,mkzg,4050847,3976,483474,22114428,15490,16450
16,24,jellyfish,dory,6437103,12991,976158,12703664,54082,58242
16,25,vanilla,mkzg,4604869,3741,374112,22465076,12338,13266
16,25,vanilla,dory,7104874,13756,902874,13084708,52786,57234
16,25,jellyfish,mkzg,7180098,4003,504672,25260128,16082,17074
16,25,jellyfish,dory,10576352,13883,1043034,15874796,57234,61682
16,26,vanilla,mkzg,8371982,3980,390030,25270576,12802,13762
16,26,vanilla,dory,12717094,13678,917832,15752492,53218,57666
16,26,jellyfish,mkzg,13560008,3914,525870,30755240,16674,17698
16,26,jellyfish,dory,19609750,13913,1063272,21288372,57794,62242
8,22,vanilla,mkzg,1631059,3764,159044,20555048,10946,11778
8,22,vanilla,dory,2735664,11936,385032,10876028,46306,50178
8,22,jellyfish,mkzg,2297353,3880,215044,21268000,14306,15202
8,22,jellyfish,dory,3639978,12290,445512,11454840,50370,54242
