parties,nv,gate,pcs,prover_time,verifier_time,mem,proof_size_compressed,proof_size_uncompressed
1,22,vanilla,mkzg,16383876,6114,24171856,14136,15000
1,22,vanilla,dory,18639245,11154,14142632,44656,47952
1,22,jellyfish,mkzg,24119329,6210,29485320,18168,19096
1,22,jellyfish,dory,28183234,11332,19305964,49392,52688
1,23,vanilla,mkzg,32595819,6249,37833584,14736,15632
1,23,vanilla,dory,34809146,11352,27280012,47816,51400
1,23,jellyfish,mkzg,48198477,6524,48481608,18928,19888
1,23,jellyfish,dory,52882579,11601,37800828,52712,56296
1,24,vanilla,mkzg,65366728,6464,65503128,15336,16264
1,24,vanilla,dory,68528193,11431,53841972,48384,51968
1,24,jellyfish,mkzg,96063879,6612,86697964,19688,20680
1,24,jellyfish,dory,104900008,11631,74809848,53440,57024
1,25,vanilla,mkzg,131307178,6535,120922052,15936,16896
1,25,vanilla,dory,130238892,11904,106947872,51544,55416
1,25,jellyfish,mkzg,192350907,6557,162859932,20448,21472
1,25,jellyfish,dory,200573947,12077,149036472,56760,60632
1,26,vanilla,mkzg,261212930,6699,231414620,16536,17528
1,26,vanilla,dory,258350525,12010,213549972,52112,55984
1,26,jellyfish,mkzg,NA,NA,OOM,NA,NA
1,26,jellyfish,dory,NA,NA,OOM,NA,NA
