parties,nv,gate,prover_time,verifier_time,comm,mem,proof_size_compressed,proof_size_uncompressed
32,22,vanilla,808638,3083,79360,658212,1748,2164
32,23,vanilla,1524738,3051,79360,1169040,1748,2164
32,24,vanilla,2889580,3000,79360,2401936,1748,2164
32,25,vanilla,5446329,3016,79360,4751876,1748,2164
32,26,vanilla,10706046,3059,79360,9612980,1748,2164
16,22,vanilla,1512676,3048,38400,1269496,1748,2164
16,23,vanilla,2860377,2995,38400,2401764,1748,2164
16,24,vanilla,5401572,3027,38400,4936368,1748,2164
16,25,vanilla,10671064,3076,38400,9616000,1748,2164
16,26,vanilla,19190312,3021,38400,19261500,1748,2164
8,22,vanilla,2841707,3022,17920,2398356,1748,2164
8,23,vanilla,5370226,3048,17920,4880132,1748,2164
8,24,vanilla,10614437,3037,17920,9618652,1748,2164
8,25,vanilla,19083654,3031,17920,19289324,1748,2164
8,26,vanilla,44271193,3065,17920,40207844,1748,2164
4,22,vanilla,5339586,3034,7680,4898204,1748,2164
4,23,vanilla,10533629,3072,7680,9613076,1748,2164
4,24,vanilla,18997241,3029,7680,19226268,1748,2164
4,25,vanilla,43102552,3008,7680,39157596,1748,2164
4,26,vanilla,85145697,3114,7680,77630616,1748,2164
2,22,vanilla,10495985,3003,2560,9647696,1748,2164
2,23,vanilla,18883621,2968,2560,19297188,1748,2164
2,24,vanilla,42881832,2972,2560,40140708,1748,2164
2,25,vanilla,85535299,3052,2560,81350388,1748,2164
2,26,vanilla,167107561,2993,2560,146685084,1748,2164
