parties,nv,gate,prover_time,verifier_time,comm,mem,proof_size_compressed,proof_size_uncompressed
32,22,jellyfish,2047701,3491,126976,1141560,2772,3316
32,23,jellyfish,3830803,3482,126976,2253048,2772,3316
32,24,jellyfish,7223681,3467,126976,4433480,2772,3316
32,25,jellyfish,13818504,3470,126976,8784320,2772,3316
32,26,jellyfish,27825246,3441,126976,17403996,2772,3316
16,22,jellyfish,3758831,3507,61440,2243512,2772,3316
16,23,jellyfish,7210405,3477,61440,4425516,2772,3316
16,24,jellyfish,13831004,3478,61440,8782620,2772,3316
16,25,jellyfish,27591714,3438,61440,17405160,2772,3316
16,26,jellyfish,51179458,3459,61440,34763232,2772,3316
8,22,jellyfish,7120358,3486,28672,4436472,2772,3316
8,23,jellyfish,13693325,3488,28672,8782204,2772,3316
8,24,jellyfish,27494311,3467,28672,17347380,2772,3316
8,25,jellyfish,51312124,3432,28672,34703172,2772,3316
8,26,jellyfish,112142474,3521,28672,69893664,2772,3316
4,22,jellyfish,13718326,3436,12288,8867156,2772,3316
4,23,jellyfish,27407828,3424,12288,17618776,2772,3316
4,24,jellyfish,51340404,3433,12288,35110988,2772,3316
4,25,jellyfish,112452271,3574,12288,70964356,2772,3316
4,26,jellyfish,224320395,3402,12288,140742896,2772,3316
2,22,jellyfish,27336835,3382,4096,17451608,2772,3316
2,23,jellyfish,50998669,3352,4096,34839244,2772,3316
2,24,jellyfish,111324331,3384,4096,70627080,2772,3316
2,25,jellyfish,218741865,3492,4096,142605284,2772,3316
2,26,jellyfish,460966848,3477,4096,243955912,2772,3316
