parties,nv,gate,prover_time,verifier_time,comm,mem,proof_size_compressed,proof_size_uncompressed
32,22,vanilla,878395,3062,79360,609068,1748,2164
32,23,vanilla,1588695,3053,79360,1254768,1748,2164
32,24,vanilla,2955703,3050,79360,2469396,1748,2164
32,25,vanilla,5563493,3038,79360,4747412,1748,2164
32,26,vanilla,10795362,3034,79360,9445528,1748,2164
16,22,vanilla,1576934,3048,38400,1231224,1748,2164
16,23,vanilla,2945568,3023,38400,2388416,1748,2164
16,24,vanilla,5486415,3024,38400,4725708,1748,2164
16,25,vanilla,10732837,3074,38400,9615744,1748,2164
16,26,vanilla,19181138,3017,38400,19271024,1748,2164
8,22,vanilla,2891581,3022,17920,2432220,1748,2164
8,23,vanilla,5446264,3067,17920,4877872,1748,2164
8,24,vanilla,10696779,3051,17920,9648432,1748,2164
8,25,vanilla,19105002,3028,17920,19272796,1748,2164
8,26,vanilla,43646489,3069,17920,38679148,1748,2164
4,22,vanilla,5388945,3032,7680,4935868,1748,2164
4,23,vanilla,10630952,3078,7680,9646212,1748,2164
4,24,vanilla,19002872,3034,7680,19292096,1748,2164
4,25,vanilla,42802657,3006,7680,39420464,1748,2164
4,26,vanilla,85323052,3091,7680,86331840,1748,2164
2,22,vanilla,10582462,3001,2560,9614248,1748,2164
2,23,vanilla,19011291,2998,2560,19288144,1748,2164
2,24,vanilla,42642620,3047,2560,40587140,1748,2164
2,25,vanilla,87141238,3013,2560,103385056,1748,2164
2,26,vanilla,167909240,3075,2560,144649976,1748,2164
