nv,M,K,setup_ms,prover_ms,verifier_ms,proof_bytes,comm_sent,comm_recv,comm_total,avg_cpu_pct,peak_rss_mb,gate_name
6,1,8,9.894,8.449,2.969,4834,15036,41468,56504,98.5,8.9,jellyfish_turbo
7,1,8,12.438,10.847,3.193,5426,16282,50106,66388,95.8,9,jellyfish_turbo
8,1,8,17.858,13.756,3.463,6018,17528,58744,76272,93.7,9.2,jellyfish_turbo
9,1,8,24.518,18.292,3.640,6610,18774,67382,86156,90.8,9.5,jellyfish_turbo
10,1,8,35.487,26.937,3.846,7202,20020,76020,96040,90.3,10.1,jellyfish_turbo
11,1,8,52.811,39.826,4.053,7794,21266,84658,105924,86.8,10.8,jellyfish_turbo
12,1,8,81.970,62.851,4.338,8386,22512,93296,115808,86.8,12.3,jellyfish_turbo
13,1,8,129.973,104.154,4.497,8978,23758,101934,125692,85.1,15.1,jellyfish_turbo
14,1,8,214.609,178.954,4.729,9570,25004,110572,135576,86.9,20.2,jellyfish_turbo
15,1,8,390.838,318.159,5.002,10162,26250,119210,145460,88.6,29.8,jellyfish_turbo
16,1,8,678.393,596.181,5.206,10754,27496,127848,155344,90.1,50.5,jellyfish_turbo
17,1,8,1285.711,1190.387,5.486,11346,28742,136486,165228,89.8,90.6,jellyfish_turbo
18,1,8,2455.787,2221.222,5.632,11938,29988,145124,175112,93.5,166.1,jellyfish_turbo
