nv,M,K,setup_ms,prover_ms,verifier_ms,proof_bytes,comm_sent,comm_recv,comm_total,avg_cpu_pct,peak_rss_mb
6,1,8,2.996,6.627,2.831,3522,12124,27804,39928,97.4,9.1
7,1,8,4.535,8.261,2.951,3986,13370,33978,47348,97.9,9.3
8,1,8,5.157,10.623,3.266,4450,14616,40152,54768,95.2,9.7
9,1,8,8.440,13.724,3.630,4914,15862,46326,62188,93.4,10.1
10,1,8,11.107,19.140,3.659,5378,17108,52500,69608,91.9,11.2
11,1,8,22.316,28.704,4.658,5842,18354,58674,77028,89.7,12.3
12,1,8,32.244,44.520,4.186,6306,19600,64848,84448,85.9,14.6
13,1,8,54.620,70.310,4.461,6770,20846,71022,91868,85.1,18.9
14,1,8,93.681,115.922,4.602,7234,22092,77196,99288,85.5,26.6
15,1,8,172.254,199.517,4.799,7698,23338,83370,106708,89.4,42.3
16,1,8,281.496,359.880,5.059,8162,24584,89544,114128,90.4,84.4
17,1,8,518.558,678.157,5.396,8626,25830,95718,121548,91.6,191.2
18,1,8,1003.875,1299.070,5.527,9090,27076,101892,128968,93.0,378.7
